Galaxy,ObsIDs,Exposure Time (ks)
LMC,1828,73.931
M101,5340,55.12
,6114,67.021
,6115,36.222
,6118,11.613
,6152,39.875
,6169,29.756
,6170,48.567
,6175,41.184
,14341,49.721
,934,99.678
,4731,56.968
,4732,70.697
,4733,25.079
,4734,35.937
,4735,29.153
,4736,78.349
,4737,22.14
,5297,21.968
,5300,52.764
,5309,71.689
,5322,65.537
,5323,43.051
,5337,10.076
,5338,28.939
,5339,14.51
M104,1586,18.759
,9532,86.053
,9533,90.159
M31,15273,77.069
,15274,73.565
,15275,77.069
,15276,73.504
,15277,74.774
,15278,72.739
,15561,70.567
,15562,77.127
,15563,69.906
M33,6376,94.285
,6377,94.081
,6378,111.667
,6379,54.261
,6380,90.532
,6381,100.181
,6382,73.254
,6383,99.114
,6385,91.164
,6387,78.278
,6388,98.959
,6389,97.072
M49,12888,161.358
,12889,137.333
M51,13812,159.543
,13813,181.573
,13814,192.369
,13815,68.078
,13816,74.077
,15496,41.511
,15553,38.076
,19522,38.26
,3932,48.612
M74,16485,9.111
,20333,16.056
,21000,10.096
,2057,46.953
,2058,46.762
,4753,5.409
,4754,5.166
,14801,9.969
,16000,40.075
,16001,14.931
,16002,38.072
,16003,40.98
,16484,14.883
M81,5936,11.558
,5937,12.164
,5938,11.963
,5939,11.963
,5940,12.134
,5941,11.963
,5942,12.112
,5943,12.173
,5944,11.966
,5945,11.733
,5946,12.177
,5947,10.841
,5948,12.19
,5949,12.183
,6174,45.18
,6346,55.182
,6347,64.698
,6892,14.954
,6893,14.951
,6894,14.957
,6895,14.75
,6896,14.957
,6897,14.954
,6898,14.951
,6899,15.139
,6900,14.601
,6901,14.957
,9122,10.044
,9805,5.179
,12301,79.055
,18047,101.769
,18048,70.071
,18053,29.983
,18054,66.59
,18875,32.79
,19981,30.057
,19982,68.399
,20624,14.951
,21384,42.535
,735,50.67
,5600,36.426
,5601,84.141
,5935,11.126
M82,10025,19.184
,10026,18.685
,10027,20.156
,10542,120.184
,10543,120.022
,10544,74.512
,10545,96.308
,10925,45.135
,11104,10.05
,11800,17.051
,1302,15.732
,13796,20.072
,16023,10.125
,16580,47.472
,17578,10.073
,17678,10.109
,17860,51.059
,18062,25.102
,18063,25.102
,18064,25.092
,18065,25.102
,18066,25.105
,18067,26.103
,18068,25.105
,18069,25.105
,18070,25.105
,18071,25.069
,18072,25.562
,18073,40.105
,19791,15.317
,19792,32.449
,2933,18.26
,361,33.759
,379,9.055
,5644,75.134
,6097,58.19
,6361,19.245
,8189,61.586
,8190,58.186
,8505,83.622
M83,12994,152.05
,12996,53.753
,13202,100.048
,13241,80.012
,13248,55.052
,14332,53.056
,6306,20.182
,793,51.639
M84,22127,23.07
,22128,24.071
,22142,21.047
,22143,23.057
,22144,32.18
,22153,21.365
,22163,36.073
,22164,33.072
,22166,39.071
,22174,50.071
,22175,27.565
,22176,52.074
,22177,37.068
,22195,38.581
,22196,20.856
,803,28.848
,5908,46.681
,6131,41.456
,20539,40.072
,20540,30.573
,20541,11.441
,20542,35.071
,20543,55.072
,21845,28.074
,21852,15.81
,21867,23.942
,22113,22.11
,22126,35.57
M87,2707,99.96
NGC1313,19712,49.951
,19930,46.347
,19932,50.732
NGC1399,319,56.77
,2942,29.626
,4172,45.119
,4174,46.289
,9530,60.118
,9798,18.548
,9799,21.576
,14527,28.168
,14529,32.041
,16639,30.067
NGC4736,808,49.802
NGC5128,10722,50.042
,1600,47.452
,1601,52.181
,17147,49.708
,17657,50.411
,20585,50.745
,20794,108.669
,3965,50.181
,7797,98.181
,7798,92.049
,7799,96.048
,7800,92.052
,806,65.297
,8489,95.189
,8490,95.688
NGC6946,1043,59.042
SMC,14669,48.071
,15502,46.402
